,name,f0,f1,type
0,A0,0.9385318688762858,-1.0,A
1,A1,0.7446895927903183,-1.0,A
2,A2,0.4895439339506329,-0.8992656390354965,A
3,A3,0.9178950204732701,-1.0,A
4,A4,0.9389295424654069,-1.0,A
5,A5,0.6176131624740953,-1.0,A
6,A6,1.0,-1.0,A
7,A7,0.9576312255989752,-1.0,A
8,A8,0.1294343080447855,-1.0,A
9,A9,0.8006293281561208,-1.0,A
10,A10,0.8506984135735445,-0.9986491716257806,A
11,A11,0.7236783014214139,-1.0,A
12,A12,0.09413663580399323,-0.44959189503359065,A
13,A13,0.8594422720644737,-1.0,A
14,A14,0.7297202395548914,-0.10573596882358949,A
15,A15,0.9865067327932435,-1.0,A
16,A16,1.0,-1.0,A
17,A17,1.0,-1.0,A
18,A18,1.0,-1.0,A
19,A19,0.8954044943936661,-1.0,A
20,A20,1.0,-1.0,A
21,A21,0.703836524409873,-0.9765159516206714,A
22,A22,0.492699531327248,-0.19426848211339365,A
23,A23,0.8000202983985962,-1.0,A
24,A24,0.9972708213582804,-1.0,A
25,A25,1.0,-1.0,A
26,A26,1.0,-1.0,A
27,A27,1.0,-1.0,A
28,A28,1.0,-1.0,A
29,A29,1.0,-1.0,A
30,A30,0.96183176374388,-1.0,A
31,A31,0.8653673783573423,-1.0,A
32,A32,1.0,-1.0,A
33,A33,0.9417230796614955,-1.0,A
34,A34,1.0,-1.0,A
35,A35,0.8281967781018114,-1.0,A
36,A36,1.0,-1.0,A
37,A37,1.0,-1.0,A
38,A38,1.0,-1.0,A
39,A39,1.0,-1.0,A
40,A40,0.9742955538005806,-1.0,A
41,A41,1.0,-1.0,A
42,A42,0.9548781417878809,-1.0,A
43,A43,0.8352643135178055,-1.0,A
44,A44,1.0,-1.0,A
45,A45,0.7010790312510469,-1.0,A
46,A46,0.6530243697654714,-1.0,A
47,A47,-0.05226317099496236,-1.0,A
48,A48,0.43620320102759935,-1.0,A
49,A49,0.6814338306676233,-1.0,A
50,A50,0.8476276000148018,-1.0,A
51,A51,1.0,-1.0,A
52,A52,0.36553789355376076,-1.0,A
53,A53,0.9614127046376335,-1.0,A
54,A54,0.5542302884630843,-1.0,A
55,A55,1.0,-1.0,A
56,A56,1.0,-1.0,A
57,A57,0.9226203157683279,-1.0,A
58,A58,0.9861251268674198,-1.0,A
59,A59,1.0,-1.0,A
60,A60,0.5893638363170206,-1.0,A
61,A61,0.5937136452076952,-1.0,A
62,A62,0.5031630722895635,-1.0,A
63,A63,0.28193981963054693,-1.0,A
64,A64,-0.349776243435145,-1.0,A
65,A65,-0.6536188215295158,-1.0,A
66,A66,-0.5675582224782258,-1.0,A
67,A67,-0.21775159559222634,-1.0,A
68,A68,0.3334658322391477,-1.0,A
69,A69,-0.3015983171915856,-1.0,A
70,A70,0.00943577988576183,-1.0,A
71,A71,0.6465256104173458,-0.9850354689676394,A
72,A72,0.8550679055289572,-0.9151003279906217,A
73,A73,0.9261306976747932,-0.9992247002491783,A
74,A74,0.8759719604824687,-1.0,A
75,A75,0.911424340722842,-0.7913427197831736,A
76,A76,0.4653041279908998,0.37915657384070434,A
77,A77,0.11637084577436863,-1.0,A
78,A78,0.525895088569801,-1.0,A
79,A79,1.0,-1.0,A
80,A80,0.4933563680516009,-1.0,A
81,A81,0.10166105960843308,-1.0,A
82,A82,0.23460449395587024,1.0,A
83,A83,-0.28498404625980367,-0.3346169549332675,A
84,A84,0.3519975497685466,-1.0,A
85,A85,0.9545500788971182,-1.0,A
86,A86,1.0,-1.0,A
87,A87,0.9231331986811293,-0.8624956659199455,A
88,A88,1.0,-1.0,A
89,A89,0.28996091824405434,1.0,A
90,A90,0.03640492368664794,1.0,A
91,A91,0.40248783436919644,-0.5828490311355098,A
92,A92,0.47699948912411605,0.5810410897200535,A
93,A93,0.9605470152495736,-0.9622554509708334,A
94,A94,0.7484880813429138,-0.8369577937860184,A
95,A95,1.0,-1.0,A
96,A96,0.7852834862220901,-1.0,A
97,A97,0.6986104661537098,-0.13830629540116313,A
98,A98,0.9217752512159472,-0.622959577274098,A
99,A99,0.8071543822193001,-0.7637231644362787,A
100,A100,0.28528818585458016,-0.08165906418755098,A
101,A101,0.6957294538640793,-0.7891468908467405,A
102,A102,0.02422320090623087,-0.41954006506296104,A
103,A103,-0.1823194507247886,-0.6213898801025513,A
104,A104,-0.11717118426305395,0.3244329404521631,A
105,A105,-0.15935032795723136,-1.0,A
106,A106,-0.7943696473952451,-1.0,A
107,A107,-0.6760526721880458,-1.0,A
108,A108,-0.09984658717129458,-0.9090625786214948,A
109,A109,-0.6670813191817719,-1.0,A
110,A110,-0.44450616709311386,0.07966569661276823,A
111,A111,-0.7534809161169811,0.18366659057436086,A
112,A112,-0.9982352032416353,-0.857864495294587,A
113,A113,-0.9683191506072272,-1.0,A
114,A114,-0.9952759857332446,-1.0,A
115,A115,-0.6331905319498802,-1.0,A
116,A116,-1.0,-1.0,A
117,A117,-1.0,-1.0,A
118,A118,-1.0,-1.0,A
119,A119,-0.5690579080953821,-1.0,A
120,A120,-0.6620480127485355,0.5555987138316072,A
121,A121,-0.6997564650594306,-1.0,A
122,A122,-0.6999340710707922,-0.4756065923541495,A
123,A123,-0.7977235412901091,-1.0,A
124,A124,-1.0,-0.8207227086370198,A
125,A125,0.15351229084250684,-1.0,A
126,A126,-1.0,-1.0,A
127,A127,0.12342531281193203,-0.19225530113833944,A
128,A128,-0.9334741816449587,-1.0,A
129,A129,-1.0,-0.4557883774493072,A
130,A130,-1.0,-0.695688065736676,A
131,A131,-0.7196018282030445,-0.26615257039009976,A
132,A132,-0.34332140016971957,-0.0943371523742319,A
133,A133,-0.7309310829517162,-1.0,A
134,A134,-0.9855070645810252,-1.0,A
135,A135,-0.9577274599115889,-1.0,A
136,A136,-0.03457719514773416,-0.09167901114548804,A
137,A137,-0.4873677479156856,-0.3086022216919946,A
138,A138,-0.6618767312855434,-0.6147346499653342,A
139,A139,1.0,-1.0,A
140,A140,0.9505737261754514,-0.8406701190215334,A
141,A141,0.8958702083271053,-0.945753791224638,A
142,A142,1.0,-1.0,A
143,A143,0.2510597244893431,0.22242986887974703,A
144,A144,0.7211798839710752,-1.0,A
145,A145,1.0,-1.0,A
146,A146,0.2319499454454117,-0.09972131489491853,A
147,A147,0.8602220145081378,-0.7990845866723997,A
148,A148,1.0,-1.0,A
149,A149,1.0,-1.0,A
150,A150,1.0,-1.0,A
151,A151,0.7830095971358806,-1.0,A
152,A152,0.815489674709146,-0.7646577214337996,A
153,A153,0.7064045382950532,-0.36909871582045795,A
154,A154,0.8601972350903928,-0.8733441832112219,A
155,A155,0.7028601425009173,-0.14199963561989914,A
156,A156,0.9118400903762454,-0.6731337343277584,A
157,A157,0.994800659005596,-1.0,A
158,A158,0.9517687305793399,-1.0,A
159,A159,-0.32428781519884176,0.38855832851865646,A
160,A160,-0.1490727525119564,1.0,A
161,A161,0.20211703522761315,1.0,A
162,A162,0.03664694873773322,0.15299834072875806,A
163,A163,-0.15682785202077965,1.0,A
164,A164,0.15134012063015923,0.06954243351015976,A
165,A165,0.6771691727785105,-0.3022050287822813,A
166,A166,0.4302657981182456,0.04490566112825167,A
167,A167,0.8190411775967614,-0.17717872245616506,A
168,A168,0.8506965351100897,-0.9567755924076732,A
169,A169,1.0,-1.0,A
170,A170,0.5954107864636513,-0.9471128991315625,A
171,A171,0.9832461644008694,-1.0,A
172,A172,0.3983950139777568,0.34689721377964067,A
173,A173,0.8245442623000081,-0.7473699921498181,A
174,A174,0.6343775929404363,-0.3726359291796454,A
175,A175,-0.5922276088514076,-1.0,A
176,A176,-0.6788091304998005,-1.0,A
177,A177,-0.9786587495668376,-1.0,A
178,A178,-0.6636837812160014,-1.0,A
179,A179,-1.0,-1.0,A
180,A180,-0.5269516929805247,-1.0,A
181,A181,-0.19664642548952038,-1.0,A
182,A182,-1.0,-0.9364370226558197,A
183,A183,-0.7289547783493855,-1.0,A
184,A184,-1.0,-1.0,A
185,A185,-0.8332237420664415,-1.0,A
186,A186,-0.5578075302567181,-0.36261463795801396,A
187,A187,-1.0,-1.0,A
188,A188,-0.7174397228404401,-1.0,A
189,A189,-1.0,-1.0,A
190,A190,-1.0,-1.0,A
191,A191,-0.9287957568714483,-0.1406089659772174,A
192,A192,-0.5107053802102746,1.0,A
193,A193,-1.0,-1.0,A
194,A194,-0.9137351911644763,-1.0,A
195,A195,-0.7832050502316119,-0.6215052537141144,A
196,A196,-0.8824587787144196,-1.0,A
197,A197,-0.741017390788262,-1.0,A
198,A198,-1.0,-1.0,A
199,A199,-1.0,-1.0,A
200,A200,-1.0,-1.0,A
201,A201,-1.0,-1.0,A
202,A202,-1.0,-1.0,A
203,A203,-1.0,-1.0,A
204,A204,-1.0,-1.0,A
205,A205,-1.0,-1.0,A
206,A206,-1.0,-0.4562669038018087,A
207,A207,-0.7553257989298451,-0.3112274699176074,A
208,A208,-0.9135714724788505,-1.0,A
209,A209,-0.5749580665978291,-1.0,A
210,A210,-0.9153580149879352,-1.0,A
211,A211,-1.0,-0.4138916351249168,A
212,A212,-1.0,-1.0,A
213,A213,-0.7338837119706618,-0.7088209275961486,A
214,A214,-0.9916868212138142,-0.9093334642133654,A
215,A215,-1.0,-0.4526790279566334,A
216,A216,-1.0,-0.6305997771472314,A
217,A217,-1.0,-1.0,A
218,A218,-1.0,-1.0,A
219,A219,-1.0,-1.0,A
220,A220,-1.0,-1.0,A
221,A221,-0.9659956383192146,-1.0,A
222,A222,-1.0,-1.0,A
223,A223,-1.0,-1.0,A
224,A224,-1.0,-1.0,A
225,A225,-1.0,-0.9493557732134605,A
226,A226,-1.0,-1.0,A
227,A227,-0.9984760325454306,-1.0,A
